Date,Datasource,Campaign,Clicks,Impressions
01.01.2019,Google Adwords,New General Campaign - Latin - Mobile,17,278
01.01.2019,Google Adwords,New General Campaign - MAL - Desktop,7,270
01.01.2019,Google Adwords,New General Campaign - MAL - Mobile,27,551
01.01.2019,Google Adwords,New General Campaign - NEL - Desktop,3,107
01.01.2019,Google Adwords,New General Campaign - NEL - Mobile,4,34
01.01.2019,Google Adwords,New General Campaign - NOR - Mobile,4,112
01.01.2019,Google Adwords,New General Campaign - NZE - Mobile,1,47
01.01.2019,Google Adwords,New General Campaign - OMA - Desktop,5,73
01.01.2019,Google Adwords,New General Campaign - OMA - Mobile,9,51
01.01.2019,Google Adwords,New General Campaign - POL - Desktop,12,830
01.01.2019,Google Adwords,New General Campaign - POL - Mobile,3,132
01.01.2019,Google Adwords,New General Campaign - POR - Desktop,1,49
01.01.2019,Google Adwords,New General Campaign - POR - Mobile,12,762
01.01.2019,Google Adwords,New General Campaign - Rest - Desktop,73,1199
01.01.2019,Google Adwords,New General Campaign - Rest - Mobile,132,1429
01.01.2019,Google Adwords,New General Campaign - ROM - Desktop,9,488
01.01.2019,Google Adwords,New General Campaign - ROM - Mobile,11,235
01.01.2019,Google Adwords,New General Campaign - RUS - Desktop,3,193
01.01.2019,Google Adwords,New General Campaign - RUS - Mobile,5,140
01.01.2019,Google Adwords,New General Campaign - SAU - Desktop,20,378
01.01.2019,Google Adwords,New General Campaign - SAU - Mobile,32,420
01.01.2019,Google Adwords,New General Campaign - SKO - Desktop,1,40
01.01.2019,Google Adwords,New General Campaign - SLO - Desktop,3,102
01.01.2019,Google Adwords,New General Campaign - SLO - Mobile,3,65
01.01.2019,Google Adwords,New General Campaign - SWE - Desktop,5,114
01.01.2019,Google Adwords,New General Campaign - SWE - Mobile,2,123
01.01.2019,Google Adwords,New General Campaign - TAW - Desktop,5,394
01.01.2019,Google Adwords,New General Campaign - TAW - Mobile,5,134
01.01.2019,Google Adwords,New General Campaign - UAE - Desktop,7,110
01.01.2019,Google Adwords,New General Campaign - UAE - Mobile,17,199
01.01.2019,Google Adwords,New General Campaign - UK - Desktop,15,960
01.01.2019,Google Adwords,New General Campaign - UK - Mobile,34,653
01.01.2019,Google Adwords,New General Campaign - USA - Desktop,30,663
01.01.2019,Google Adwords,New General Campaign - USA - Mobile,35,883
01.01.2019,Google Adwords,YouTube TrueView Mobile - Prio 1 - Offer,2,561
01.01.2019,Google Analytics,B2B - Leads,7,444
01.01.2019,Google Analytics,GDN Prospecting - App - Prio 1 Offer,16,12535
01.01.2019,Google Analytics,GDN Prospecting - App - Prio 2 Offer,93,18866
01.01.2019,Google Analytics,GDN Prospecting - Desktop - India Offer,72,59558
01.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 1 Offer,65,34592
01.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 2 Offer,26,20901
01.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 3 Offer,87,47845
01.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 4 Offer,263,106641
01.01.2019,Google Analytics,GDN Prospecting - Interstitials - Prio 1 Offer,19,11483
01.01.2019,Google Analytics,GDN Prospecting - Interstitials - Prio 2 Offer,90,19809
01.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 1 Offer,46,17143
01.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 2 Offer,266,25319
01.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 3 Offer,154,24073
01.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 4 Offer,343,17808
01.01.2019,Google Analytics,GDN RMKT - App - Prio 1 Offer,6,1589
01.01.2019,Google Analytics,GDN RMKT - App - Prio 2 Offer,29,4021
01.01.2019,Google Analytics,GDN RMKT - Desktop - India Offer,1,392
01.01.2019,Google Analytics,GDN RMKT - Desktop - Prio 1 Offer,1,505
01.01.2019,Google Analytics,GDN RMKT - Desktop - Prio 3 Offer,31,10149
01.01.2019,Google Analytics,GDN RMKT - Desktop - Prio 4 Offer,5,1132
01.01.2019,Google Analytics,GDN RMKT - Interstitials - Prio 1 Offer,6,680
01.01.2019,Google Analytics,GDN RMKT - Interstitials - Prio 2 Offer,17,2672
01.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 1 Offer,4,720
01.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 2 Offer,13,2619
01.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 3 Offer,34,3284
01.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 4 Offer,73,4686
01.01.2019,Google Analytics,New General Campaign - Africa - Desktop,9,165
01.01.2019,Google Analytics,New General Campaign - Africa - Mobile,37,542
01.01.2019,Google Analytics,New General Campaign - Arab - Desktop,1,58
01.01.2019,Google Analytics,New General Campaign - Arab - Mobile,5,42
01.01.2019,Google Analytics,New General Campaign - Asia - Desktop,8,82
01.01.2019,Google Analytics,New General Campaign - Asia - Mobile,3,59
01.01.2019,Google Analytics,New General Campaign - AUS - Desktop,6,548
01.01.2019,Google Analytics,New General Campaign - AUS - Mobile,7,281
01.01.2019,Google Analytics,New General Campaign - AUT - Desktop,11,330
01.01.2019,Google Analytics,New General Campaign - AUT - Mobile,10,332
01.01.2019,Google Analytics,New General Campaign - BEL - Desktop,3,94
01.01.2019,Google Analytics,New General Campaign - BEL - Mobile,3,79
01.01.2019,Google Analytics,New General Campaign - BUL - Desktop,5,100
01.01.2019,Google Analytics,New General Campaign - BUL - Mobile,7,128
01.01.2019,Google Analytics,New General Campaign - CAN - Desktop,11,252
01.01.2019,Google Analytics,New General Campaign - CAN - Mobile,26,693
01.01.2019,Google Analytics,New General Campaign - CH - Desktop,6,176
01.01.2019,Google Analytics,New General Campaign - CH - Mobile,1,71
01.01.2019,Google Analytics,New General Campaign - CRO - Desktop,3,107
01.01.2019,Google Analytics,New General Campaign - CRO - Mobile,3,85
01.01.2019,Google Analytics,New General Campaign - CZE - Mobile,1,150
01.01.2019,Google Analytics,New General Campaign - DEN - Desktop,3,74
01.01.2019,Google Analytics,New General Campaign - DEN - Mobile,3,59
01.01.2019,Google Analytics,New General Campaign - ESP - Desktop,8,401
01.01.2019,Google Analytics,New General Campaign - ESP - Mobile,4,118
01.01.2019,Google Analytics,New General Campaign - Europe - Desktop,29,932
01.01.2019,Google Analytics,New General Campaign - Europe - Mobile,16,512
01.01.2019,Google Analytics,New General Campaign - FRA - Desktop,6,307
01.01.2019,Google Analytics,New General Campaign - FRA - Mobile,9,153
01.01.2019,Google Analytics,New General Campaign - GER - Desktop,47,1469
01.01.2019,Google Analytics,New General Campaign - GER - Mobile,51,1149
01.01.2019,Google Analytics,New General Campaign - GRE - Desktop,6,182
01.01.2019,Google Analytics,New General Campaign - GRE - Mobile,2,72
01.01.2019,Google Analytics,New General Campaign - HKG - Mobile,2,76
01.01.2019,Google Analytics,New General Campaign - HUN - Desktop,2,107
01.01.2019,Google Analytics,New General Campaign - HUN - Mobile,4,100
01.01.2019,Google Analytics,New General Campaign - IND - Desktop,62,1728
01.01.2019,Google Analytics,New General Campaign - IND - Mobile,233,2666
01.01.2019,Google Analytics,New General Campaign - IRE - Desktop,2,97
01.01.2019,Google Analytics,New General Campaign - IRE - Mobile,1,114
01.01.2019,Google Analytics,New General Campaign - ISR - Desktop,2,114
01.01.2019,Google Analytics,New General Campaign - ISR - Mobile,4,80
01.01.2019,Google Analytics,New General Campaign - ITA - Desktop,30,561
01.01.2019,Google Analytics,New General Campaign - ITA - Mobile,37,677
01.01.2019,Google Analytics,New General Campaign - JPN - Desktop,1,14
01.01.2019,Google Analytics,New General Campaign - Latin - Desktop,6,342
01.01.2019,Google Analytics,New General Campaign - Latin - Mobile,17,278
01.01.2019,Google Analytics,New General Campaign - MAL - Desktop,7,270
01.01.2019,Google Analytics,New General Campaign - MAL - Mobile,27,551
01.01.2019,Google Analytics,New General Campaign - NEL - Desktop,3,107
01.01.2019,Google Analytics,New General Campaign - NEL - Mobile,4,34
01.01.2019,Google Analytics,New General Campaign - NOR - Mobile,4,112
01.01.2019,Google Analytics,New General Campaign - NZE - Mobile,1,47
01.01.2019,Google Analytics,New General Campaign - OMA - Desktop,5,73
01.01.2019,Google Analytics,New General Campaign - OMA - Mobile,9,51
01.01.2019,Google Analytics,New General Campaign - POL - Desktop,12,830
01.01.2019,Google Analytics,New General Campaign - POL - Mobile,3,132
01.01.2019,Google Analytics,New General Campaign - POR - Desktop,1,49
01.01.2019,Google Analytics,New General Campaign - POR - Mobile,12,762
01.01.2019,Google Analytics,New General Campaign - Rest - Desktop,73,1199
01.01.2019,Google Analytics,New General Campaign - Rest - Mobile,132,1429
01.01.2019,Google Analytics,New General Campaign - ROM - Desktop,9,488
01.01.2019,Google Analytics,New General Campaign - ROM - Mobile,11,235
01.01.2019,Google Analytics,New General Campaign - RUS - Desktop,3,193
01.01.2019,Google Analytics,New General Campaign - RUS - Mobile,5,140
01.01.2019,Google Analytics,New General Campaign - SAU - Desktop,20,378
01.01.2019,Google Analytics,New General Campaign - SAU - Mobile,32,420
01.01.2019,Google Analytics,New General Campaign - SKO - Desktop,1,40
01.01.2019,Google Analytics,New General Campaign - SLO - Desktop,3,102
01.01.2019,Google Analytics,New General Campaign - SLO - Mobile,3,65
01.01.2019,Google Analytics,New General Campaign - SWE - Desktop,5,114
01.01.2019,Google Analytics,New General Campaign - SWE - Mobile,2,123
01.01.2019,Google Analytics,New General Campaign - TAW - Desktop,5,394
01.01.2019,Google Analytics,New General Campaign - TAW - Mobile,5,134
01.01.2019,Google Analytics,New General Campaign - UAE - Desktop,7,110
01.01.2019,Google Analytics,New General Campaign - UAE - Mobile,17,199
01.01.2019,Google Analytics,New General Campaign - UK - Desktop,15,960
01.01.2019,Google Analytics,New General Campaign - UK - Mobile,34,653
01.01.2019,Google Analytics,New General Campaign - USA - Desktop,30,663
01.01.2019,Google Analytics,New General Campaign - USA - Mobile,35,883
01.01.2019,Google Analytics,YouTube TrueView Mobile - Prio 1 - Offer,2,561
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (ABD) #2,20,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (EBC) #2,59,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (EMC) #2,166,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (EME) #2,15,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (MSK) #2,10,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (PED) #2,1,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (POC) #2,4,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (RH) #2,5,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (STE) #2,11,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (TEE) #2,45,
01.01.2019,Mailchimp,NY Offer 2019 | Extension Buyers | Switch To Lifetime (VAS) #2,2,
01.01.2019,Mailchimp,Weekly Newsletter | 1 January 2019,7120,
02.01.2019,Facebook Ads,Like Ads,301,1927
02.01.2019,Facebook Ads,Offer Campaigns - Conversions,10664,805036
02.01.2019,Google Adwords,B2B - Leads,9,399
02.01.2019,Google Adwords,GDN Prospecting - App - Prio 1 Offer,26,12732
02.01.2019,Google Adwords,GDN Prospecting - App - Prio 2 Offer,86,17984
02.01.2019,Google Adwords,GDN Prospecting - Desktop - India Offer,86,65013
02.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 1 Offer,78,51448
02.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 2 Offer,52,28362
02.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 3 Offer,140,69214
02.01.2019,Google Adwords,GDN Prospecting - Desktop - Prio 4 Offer,194,105516
02.01.2019,Google Adwords,GDN Prospecting - Interstitials - Prio 1 Offer,32,20041
02.01.2019,Google Adwords,GDN Prospecting - Interstitials - Prio 2 Offer,71,33045
02.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 1 Offer,72,19298
02.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 2 Offer,267,25177
02.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 3 Offer,156,24056
02.01.2019,Google Adwords,GDN Prospecting - Mobile - Prio 4 Offer,322,18559
02.01.2019,Google Adwords,GDN RMKT - App - Prio 1 Offer,8,1241
02.01.2019,Google Adwords,GDN RMKT - App - Prio 2 Offer,29,2965
02.01.2019,Google Adwords,GDN RMKT - Desktop - India Offer,1,467
02.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 2 Offer,1,1063
02.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 3 Offer,13,15390
02.01.2019,Google Adwords,GDN RMKT - Desktop - Prio 4 Offer,4,1223
02.01.2019,Google Adwords,GDN RMKT - Interstitials - Prio 1 Offer,4,271
02.01.2019,Google Adwords,GDN RMKT - Interstitials - Prio 2 Offer,24,3117
02.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 1 Offer,9,743
02.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 2 Offer,17,2645
02.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 3 Offer,34,3209
02.01.2019,Google Adwords,GDN RMKT - Mobile - Prio 4 Offer,125,6269
02.01.2019,Google Adwords,New General Campaign - Africa - Desktop,15,328
02.01.2019,Google Adwords,New General Campaign - Africa - Mobile,50,847
02.01.2019,Google Adwords,New General Campaign - Arab - Desktop,6,101
02.01.2019,Google Adwords,New General Campaign - Arab - Mobile,3,67
02.01.2019,Google Adwords,New General Campaign - Asia - Desktop,8,162
02.01.2019,Google Adwords,New General Campaign - Asia - Mobile,12,148
02.01.2019,Google Adwords,New General Campaign - AUS - Desktop,24,1095
02.01.2019,Google Adwords,New General Campaign - AUS - Mobile,9,430
02.01.2019,Google Adwords,New General Campaign - AUT - Desktop,17,545
02.01.2019,Google Adwords,New General Campaign - AUT - Mobile,16,397
02.01.2019,Google Adwords,New General Campaign - BEL - Desktop,2,176
02.01.2019,Google Adwords,New General Campaign - BEL - Mobile,4,103
02.01.2019,Google Adwords,New General Campaign - BUL - Desktop,5,155
02.01.2019,Google Adwords,New General Campaign - BUL - Mobile,16,261
02.01.2019,Google Adwords,New General Campaign - CAN - Desktop,10,312
02.01.2019,Google Adwords,New General Campaign - CAN - Mobile,36,1021
02.01.2019,Google Adwords,New General Campaign - CH - Desktop,8,146
02.01.2019,Google Adwords,New General Campaign - CH - Mobile,4,93
02.01.2019,Google Adwords,New General Campaign - CRO - Desktop,5,178
02.01.2019,Google Adwords,New General Campaign - CRO - Mobile,6,173
02.01.2019,Google Adwords,New General Campaign - CZE - Desktop,3,221
02.01.2019,Google Adwords,New General Campaign - CZE - Mobile,5,176
02.01.2019,Google Adwords,New General Campaign - DEN - Desktop,1,192
02.01.2019,Google Adwords,New General Campaign - DEN - Mobile,4,131
02.01.2019,Google Adwords,New General Campaign - ESP - Desktop,7,803
02.01.2019,Google Adwords,New General Campaign - ESP - Mobile,2,140
02.01.2019,Google Adwords,New General Campaign - Europe - Desktop,45,1358
02.01.2019,Google Adwords,New General Campaign - Europe - Mobile,40,741
02.01.2019,Google Adwords,New General Campaign - FIN - Desktop,2,169
02.01.2019,Google Adwords,New General Campaign - FIN - Mobile,1,57
02.01.2019,Google Adwords,New General Campaign - FRA - Desktop,12,518
02.01.2019,Google Adwords,New General Campaign - FRA - Mobile,10,177
02.01.2019,Google Adwords,New General Campaign - GER - Desktop,29,1695
02.01.2019,Google Adwords,New General Campaign - GER - Mobile,60,1702
02.01.2019,Google Adwords,New General Campaign - GRE - Desktop,23,393
02.01.2019,Google Adwords,New General Campaign - GRE - Mobile,4,116
02.01.2019,Google Adwords,New General Campaign - HKG - Desktop,1,109
02.01.2019,Google Adwords,New General Campaign - HKG - Mobile,6,109
02.01.2019,Google Adwords,New General Campaign - HUN - Desktop,5,303
02.01.2019,Google Adwords,New General Campaign - HUN - Mobile,7,218
02.01.2019,Google Adwords,New General Campaign - IND - Desktop,97,2446
02.01.2019,Google Adwords,New General Campaign - IND - Mobile,344,3505
02.01.2019,Google Adwords,New General Campaign - IRE - Desktop,6,147
02.01.2019,Google Adwords,New General Campaign - IRE - Mobile,13,209
02.01.2019,Google Adwords,New General Campaign - ISR - Desktop,4,166
02.01.2019,Google Adwords,New General Campaign - ISR - Mobile,6,116
02.01.2019,Google Adwords,New General Campaign - ITA - Desktop,30,839
02.01.2019,Google Adwords,New General Campaign - ITA - Mobile,62,1242
02.01.2019,Google Adwords,New General Campaign - JPN - Desktop,2,47
02.01.2019,Google Adwords,New General Campaign - Latin - Desktop,22,1463
02.01.2019,Google Adwords,New General Campaign - Latin - Mobile,34,861
02.01.2019,Google Adwords,New General Campaign - MAL - Desktop,17,399
02.01.2019,Google Adwords,New General Campaign - MAL - Mobile,26,643
02.01.2019,Google Adwords,New General Campaign - NEL - Desktop,4,247
02.01.2019,Google Adwords,New General Campaign - NEL - Mobile,4,87
02.01.2019,Google Adwords,New General Campaign - NOR - Desktop,9,398
02.01.2019,Google Adwords,New General Campaign - NOR - Mobile,2,118
02.01.2019,Google Adwords,New General Campaign - NZE - Desktop,1,34
02.01.2019,Google Adwords,New General Campaign - NZE - Mobile,2,32
02.01.2019,Google Adwords,New General Campaign - OMA - Desktop,3,49
02.01.2019,Google Adwords,New General Campaign - OMA - Mobile,7,51
02.01.2019,Google Adwords,New General Campaign - POL - Desktop,5,1103
02.01.2019,Google Adwords,New General Campaign - POL - Mobile,7,359
02.01.2019,Google Adwords,New General Campaign - POR - Desktop,5,205
02.01.2019,Google Adwords,New General Campaign - POR - Mobile,8,1499
02.01.2019,Google Adwords,New General Campaign - Rest - Desktop,80,1684
02.01.2019,Google Adwords,New General Campaign - Rest - Mobile,126,1696
02.01.2019,Google Adwords,New General Campaign - ROM - Desktop,26,666
02.01.2019,Google Adwords,New General Campaign - ROM - Mobile,27,482
02.01.2019,Google Adwords,New General Campaign - RUS - Desktop,5,246
02.01.2019,Google Adwords,New General Campaign - RUS - Mobile,11,166
02.01.2019,Google Adwords,New General Campaign - SAU - Desktop,19,341
02.01.2019,Google Adwords,New General Campaign - SAU - Mobile,25,344
02.01.2019,Google Adwords,New General Campaign - SKO - Desktop,4,98
02.01.2019,Google Adwords,New General Campaign - SKO - Mobile,1,1
02.01.2019,Google Adwords,New General Campaign - SLO - Desktop,2,203
02.01.2019,Google Adwords,New General Campaign - SLO - Mobile,3,73
02.01.2019,Google Adwords,New General Campaign - SWE - Desktop,4,178
02.01.2019,Google Adwords,New General Campaign - SWE - Mobile,7,153
02.01.2019,Google Adwords,New General Campaign - TAW - Desktop,12,363
02.01.2019,Google Adwords,New General Campaign - TAW - Mobile,3,46
02.01.2019,Google Adwords,New General Campaign - UAE - Desktop,13,366
02.01.2019,Google Adwords,New General Campaign - UAE - Mobile,20,256
02.01.2019,Google Adwords,New General Campaign - UK - Desktop,27,1600
02.01.2019,Google Adwords,New General Campaign - UK - Mobile,38,1012
02.01.2019,Google Adwords,New General Campaign - USA - Desktop,41,1474
02.01.2019,Google Adwords,New General Campaign - USA - Mobile,56,1197
02.01.2019,Google Analytics,B2B - Leads,9,399
02.01.2019,Google Analytics,GDN Prospecting - App - Prio 1 Offer,26,12732
02.01.2019,Google Analytics,GDN Prospecting - App - Prio 2 Offer,86,17984
02.01.2019,Google Analytics,GDN Prospecting - Desktop - India Offer,86,65013
02.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 1 Offer,78,51448
02.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 2 Offer,52,28362
02.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 3 Offer,140,69214
02.01.2019,Google Analytics,GDN Prospecting - Desktop - Prio 4 Offer,194,105516
02.01.2019,Google Analytics,GDN Prospecting - Interstitials - Prio 1 Offer,32,20041
02.01.2019,Google Analytics,GDN Prospecting - Interstitials - Prio 2 Offer,71,33045
02.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 1 Offer,72,19298
02.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 2 Offer,267,25177
02.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 3 Offer,156,24056
02.01.2019,Google Analytics,GDN Prospecting - Mobile - Prio 4 Offer,322,18559
02.01.2019,Google Analytics,GDN RMKT - App - Prio 1 Offer,8,1241
02.01.2019,Google Analytics,GDN RMKT - App - Prio 2 Offer,29,2965
02.01.2019,Google Analytics,GDN RMKT - Desktop - India Offer,1,467
02.01.2019,Google Analytics,GDN RMKT - Desktop - Prio 2 Offer,1,1063
02.01.2019,Google Analytics,GDN RMKT - Desktop - Prio 3 Offer,13,15390
02.01.2019,Google Analytics,GDN RMKT - Desktop - Prio 4 Offer,4,1223
02.01.2019,Google Analytics,GDN RMKT - Interstitials - Prio 1 Offer,4,271
02.01.2019,Google Analytics,GDN RMKT - Interstitials - Prio 2 Offer,24,3117
02.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 1 Offer,9,743
02.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 2 Offer,17,2645
02.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 3 Offer,34,3209
02.01.2019,Google Analytics,GDN RMKT - Mobile - Prio 4 Offer,125,6269
02.01.2019,Google Analytics,New General Campaign - Africa - Desktop,15,328
02.01.2019,Google Analytics,New General Campaign - Africa - Mobile,50,847
02.01.2019,Google Analytics,New General Campaign - Arab - Desktop,6,101
02.01.2019,Google Analytics,New General Campaign - Arab - Mobile,3,67
02.01.2019,Google Analytics,New General Campaign - Asia - Desktop,8,162
02.01.2019,Google Analytics,New General Campaign - Asia - Mobile,12,148
02.01.2019,Google Analytics,New General Campaign - AUS - Desktop,24,1095
02.01.2019,Google Analytics,New General Campaign - AUS - Mobile,9,430
02.01.2019,Google Analytics,New General Campaign - AUT - Desktop,17,545
02.01.2019,Google Analytics,New General Campaign - AUT - Mobile,16,397
02.01.2019,Google Analytics,New General Campaign - BEL - Desktop,2,176
02.01.2019,Google Analytics,New General Campaign - BEL - Mobile,4,103
02.01.2019,Google Analytics,New General Campaign - BUL - Desktop,5,155
02.01.2019,Google Analytics,New General Campaign - BUL - Mobile,16,261
